source_row,pharmacy_name,address
2,"Farmacia AEROPORTO non nei turni, ma aperta 365gg, h. 05,30-20,00",
3,"Farmacia COMUNALE PIAZZA MAGGIORE non nei turni, ma aperta 365 gg, h24",
