scenario,assignments,reduction_vs_history,total_min,total_max,total_range,total_jain,total_gini,h24_min,h24_max,h24_range,h24_jain,h24_gini,active_calendar_decision_changes,h24_calendar_decision_changes
Historical,931,0,6,8,2,0.9954566179367119,0.033306262171107326,0,3,3,0.8672429762272307,0.17610062893081757,0,0
Efficiency-first,901,30,5,8,3,0.9884690924189458,0.0540501520442509,1,2,1,0.8897687678175483,0.16014726184997707,32,6
Fairness-aware,923,8,7,8,1,0.995580283530304,0.03331307419249718,1,2,1,0.8897687678175483,0.16014726184997707,10,6
Full-group,931,0,7,8,1,0.9957379395752415,0.03239806834158565,1,2,1,0.8897687678175483,0.16014726184997707,2,6
