assignment_id,week_id,week_start,week_end,nT,rotation_group,rotation_round,pharmacy_id,location_id,shift_type,access_mode,schedule_source
O000056,2026-W04,2026-01-19,2026-01-26,39,4,6,P0056,L0056,H24,P,optimized_fairness_aware
O000057,2026-W04,2026-01-19,2026-01-26,39,4,6,P0057,L0057,STANDARD,P,optimized_fairness_aware
O000058,2026-W04,2026-01-19,2026-01-26,39,4,6,P0058,L0058,STANDARD,P,optimized_fairness_aware
O000059,2026-W04,2026-01-19,2026-01-26,39,4,6,P0059,L0059,STANDARD,P,optimized_fairness_aware
O000060,2026-W04,2026-01-19,2026-01-26,39,4,6,P0060,L0060,STANDARD,P,optimized_fairness_aware
O000061,2026-W04,2026-01-19,2026-01-26,39,4,6,P0061,L0061,STANDARD,P,optimized_fairness_aware
O000062,2026-W04,2026-01-19,2026-01-26,39,4,6,P0062,L0062,STANDARD,P,optimized_fairness_aware
O000063,2026-W04,2026-01-19,2026-01-26,39,4,6,P0063,L0063,STANDARD,P,optimized_fairness_aware
O000064,2026-W04,2026-01-19,2026-01-26,39,4,6,P0064,L0064,STANDARD,P,optimized_fairness_aware
O000065,2026-W04,2026-01-19,2026-01-26,39,4,6,P0065,L0065,STANDARD,P,optimized_fairness_aware
O000066,2026-W04,2026-01-19,2026-01-26,39,4,6,P0066,L0066,STANDARD,P,optimized_fairness_aware
O000067,2026-W04,2026-01-19,2026-01-26,39,4,6,P0067,L0067,STANDARD,P,optimized_fairness_aware
O000068,2026-W04,2026-01-19,2026-01-26,39,4,6,P0068,L0068,STANDARD,P,optimized_fairness_aware
O000069,2026-W04,2026-01-19,2026-01-26,39,4,6,P0069,L0069,STANDARD,P,optimized_fairness_aware
O000070,2026-W04,2026-01-19,2026-01-26,39,4,6,P0070,L0070,STANDARD,C,optimized_fairness_aware
O000071,2026-W05,2026-01-26,2026-02-02,40,5,6,P0071,L0071,H24,P,optimized_fairness_aware
O000072,2026-W05,2026-01-26,2026-02-02,40,5,6,P0072,L0072,H24,P,optimized_fairness_aware
O000073,2026-W05,2026-01-26,2026-02-02,40,5,6,P0073,L0073,H24,P,optimized_fairness_aware
O000074,2026-W05,2026-01-26,2026-02-02,40,5,6,P0074,L0074,STANDARD,P,optimized_fairness_aware
O000075,2026-W05,2026-01-26,2026-02-02,40,5,6,P0075,L0075,STANDARD,P,optimized_fairness_aware
O000076,2026-W05,2026-01-26,2026-02-02,40,5,6,P0076,L0076,STANDARD,P,optimized_fairness_aware
O000077,2026-W05,2026-01-26,2026-02-02,40,5,6,P0077,L0077,STANDARD,P,optimized_fairness_aware
O000078,2026-W05,2026-01-26,2026-02-02,40,5,6,P0078,L0078,STANDARD,P,optimized_fairness_aware
O000079,2026-W05,2026-01-26,2026-02-02,40,5,6,P0079,L0079,STANDARD,P,optimized_fairness_aware
O000080,2026-W05,2026-01-26,2026-02-02,40,5,6,P0080,L0080,STANDARD,P,optimized_fairness_aware
O000081,2026-W05,2026-01-26,2026-02-02,40,5,6,P0081,L0081,STANDARD,P,optimized_fairness_aware
O000082,2026-W05,2026-01-26,2026-02-02,40,5,6,P0082,L0082,STANDARD,P,optimized_fairness_aware
O000083,2026-W05,2026-01-26,2026-02-02,40,5,6,P0083,L0083,STANDARD,P,optimized_fairness_aware
O000084,2026-W05,2026-01-26,2026-02-02,40,5,6,P0084,L0084,STANDARD,P,optimized_fairness_aware
O000085,2026-W05,2026-01-26,2026-02-02,40,5,6,P0085,L0085,STANDARD,P,optimized_fairness_aware
O000086,2026-W05,2026-01-26,2026-02-02,40,5,6,P0086,L0086,STANDARD,P,optimized_fairness_aware
O000087,2026-W05,2026-01-26,2026-02-02,40,5,6,P0087,L0087,STANDARD,P,optimized_fairness_aware
O000088,2026-W05,2026-01-26,2026-02-02,40,5,6,P0088,L0088,STANDARD,P,optimized_fairness_aware
O000089,2026-W06,2026-02-02,2026-02-09,41,6,6,P0089,L0089,H24,P,optimized_fairness_aware
O000090,2026-W06,2026-02-02,2026-02-09,41,6,6,P0090,L0090,H24,P,optimized_fairness_aware
O000091,2026-W06,2026-02-02,2026-02-09,41,6,6,P0091,L0091,H24,P,optimized_fairness_aware
O000092,2026-W06,2026-02-02,2026-02-09,41,6,6,P0092,L0092,STANDARD,P,optimized_fairness_aware
O000093,2026-W06,2026-02-02,2026-02-09,41,6,6,P0093,L0093,STANDARD,P,optimized_fairness_aware
O000094,2026-W06,2026-02-02,2026-02-09,41,6,6,P0094,L0094,STANDARD,P,optimized_fairness_aware
O000095,2026-W06,2026-02-02,2026-02-09,41,6,6,P0095,L0095,STANDARD,P,optimized_fairness_aware
O000096,2026-W06,2026-02-02,2026-02-09,41,6,6,P0096,L0096,STANDARD,P,optimized_fairness_aware
O000097,2026-W06,2026-02-02,2026-02-09,41,6,6,P0097,L0097,STANDARD,P,optimized_fairness_aware
O000098,2026-W06,2026-02-02,2026-02-09,41,6,6,P0098,L0098,STANDARD,P,optimized_fairness_aware
O000099,2026-W06,2026-02-02,2026-02-09,41,6,6,P0099,L0099,STANDARD,P,optimized_fairness_aware
O000100,2026-W06,2026-02-02,2026-02-09,41,6,6,P0100,L0100,STANDARD,P,optimized_fairness_aware
O000101,2026-W06,2026-02-02,2026-02-09,41,6,6,P0101,L0101,STANDARD,P,optimized_fairness_aware
O000102,2026-W06,2026-02-02,2026-02-09,41,6,6,P0102,L0102,STANDARD,P,optimized_fairness_aware
O000103,2026-W06,2026-02-02,2026-02-09,41,6,6,P0103,L0103,STANDARD,P,optimized_fairness_aware
O000104,2026-W06,2026-02-02,2026-02-09,41,6,6,P0104,L0104,STANDARD,P,optimized_fairness_aware
O000105,2026-W06,2026-02-02,2026-02-09,41,6,6,P0105,L0105,STANDARD,P,optimized_fairness_aware
O000106,2026-W06,2026-02-02,2026-02-09,41,6,6,P0106,L0106,STANDARD,P,optimized_fairness_aware
O000107,2026-W07,2026-02-09,2026-02-16,42,7,6,P0107,L0107,H24,P,optimized_fairness_aware
O000108,2026-W07,2026-02-09,2026-02-16,42,7,6,P0108,L0108,H24,P,optimized_fairness_aware
O000109,2026-W07,2026-02-09,2026-02-16,42,7,6,P0109,L0109,H24,P,optimized_fairness_aware
O000110,2026-W07,2026-02-09,2026-02-16,42,7,6,P0110,L0110,STANDARD,P,optimized_fairness_aware
O000111,2026-W07,2026-02-09,2026-02-16,42,7,6,P0111,L0111,STANDARD,P,optimized_fairness_aware
O000112,2026-W07,2026-02-09,2026-02-16,42,7,6,P0112,L0112,STANDARD,P,optimized_fairness_aware
O000113,2026-W07,2026-02-09,2026-02-16,42,7,6,P0113,L0113,STANDARD,P,optimized_fairness_aware
O000114,2026-W07,2026-02-09,2026-02-16,42,7,6,P0114,L0114,STANDARD,P,optimized_fairness_aware
O000115,2026-W07,2026-02-09,2026-02-16,42,7,6,P0115,L0115,STANDARD,P,optimized_fairness_aware
O000116,2026-W07,2026-02-09,2026-02-16,42,7,6,P0116,L0116,STANDARD,P,optimized_fairness_aware
O000117,2026-W07,2026-02-09,2026-02-16,42,7,6,P0117,L0117,STANDARD,P,optimized_fairness_aware
O000118,2026-W07,2026-02-09,2026-02-16,42,7,6,P0118,L0118,STANDARD,P,optimized_fairness_aware
O000119,2026-W07,2026-02-09,2026-02-16,42,7,6,P0119,L0119,STANDARD,C,optimized_fairness_aware
O000120,2026-W07,2026-02-09,2026-02-16,42,7,6,P0120,L0120,STANDARD,P,optimized_fairness_aware
O000121,2026-W07,2026-02-09,2026-02-16,42,7,6,P0121,L0121,STANDARD,P,optimized_fairness_aware
O000122,2026-W07,2026-02-09,2026-02-16,42,7,6,P0122,L0122,STANDARD,P,optimized_fairness_aware
O000123,2026-W07,2026-02-09,2026-02-16,42,7,6,P0123,L0123,STANDARD,P,optimized_fairness_aware
O000124,2026-W08,2026-02-16,2026-02-23,1,1,1,P0007,L0007,H24,P,optimized_fairness_aware
O000125,2026-W08,2026-02-16,2026-02-23,1,1,1,P0008,L0008,H24,P,optimized_fairness_aware
O000126,2026-W08,2026-02-16,2026-02-23,1,1,1,P0015,L0015,H24,P,optimized_fairness_aware
O000127,2026-W08,2026-02-16,2026-02-23,1,1,1,P0001,L0001,STANDARD,C,optimized_fairness_aware
O000128,2026-W08,2026-02-16,2026-02-23,1,1,1,P0002,L0002,STANDARD,P,optimized_fairness_aware
O000129,2026-W08,2026-02-16,2026-02-23,1,1,1,P0003,L0003,STANDARD,P,optimized_fairness_aware
O000130,2026-W08,2026-02-16,2026-02-23,1,1,1,P0004,L0004,STANDARD,P,optimized_fairness_aware
O000131,2026-W08,2026-02-16,2026-02-23,1,1,1,P0005,L0005,STANDARD,P,optimized_fairness_aware
